1		怪獸大廈	Monster Building	打卡	PhotoTaking	東 區	Eastern	https://www.google.com/maps/place/%E7%9B%8A%E6%98%8C%E5%A4%A7%E5%BB%88/@22.2836592,114.2068258,15.75z/data=!4m6!3m5!1s0x3404010b755d7fe5:0xa384513fc2c99ddd!8m2!3d22.2842028!4d114.2123028!16s%2Fg%2F155pwm1w?entry=ttu&g_ep=EgoyMDI1MDMyNC4wI																																														
2		中環至半山扶手電梯	Central-Mid-Levels Escalator and Walkway System	打卡	PhotoTaking	中西區	Central and Western	https://www.google.com/maps/place/%E4%B8%AD%E7%92%B0%E5%8D%8A%E5%B1%B1%E6%89%B6%E6%89%8B%E9%9B%BB%E6%A2%AF/@22.2838513,114.152394,17z/data=!3m1!4b1!4m6!3m5!1s0x3404007b5f295693:0x26d418786a2b4570!8m2!3d22.2838464!4d114.1549689!16zL20vMDJqN2Ru?entry=ttu&g_ep=EgoyMDI1MDMyNC4wI																																														
3		大館古蹟及藝術館	Tai Kwun Centre for Heritage and Arts	打卡	PhotoTaking	中西區	Central and Western	https://www.google.com/maps/place/%E5%A4%A7%E9%A4%A8/@22.2811735,114.1514481,17z/data=!3m1!4b1!4m6!3m5!1s0x3404007b142a0be7:0x48667a410078148d!8m2!3d22.2811686!4d114.154023!16zL20vMDJwNGx2?entry=ttu&g_ep=EgoyMDI1MDMyNC4wI																																														
4		中環街市	Central Market	打卡	PhotoTaking	中西區	Central and Western	https://www.google.com/maps/search/%E4%B8%AD%E7%92%B0%E8%A1%97%E5%B8%82/@22.2842316,114.1530515,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDMyNC4wI																																														
5		藝穗會	The Fringe Club	打卡	PhotoTaking	中西區	Central and Western	https://www.google.com/maps/place/%E8%97%9D%E7%A9%97%E6%9C%83/@22.2802447,114.1531423,17z/data=!3m1!4b1!4m6!3m5!1s0x340400652a8837c3:0x74abc5dcb8635cf1!8m2!3d22.2802398!4d114.1557172!16zL20vMDlreDIz?entry=ttu&g_ep=EgoyMDI1MDMyNC4wI																																														
6		香港醫學博物館	Hong Kong Museum of Medical Sciences	打卡	PhotoTaking	中西區	Central and Western	https://www.google.com/maps/place/%E9%A6%99%E6%B8%AF%E9%86%AB%E5%AD%B8%E5%8D%9A%E7%89%A9%E9%A4%A8/@22.2834891,114.1460749,17z/data=!3m1!4b1!4m6!3m5!1s0x3404007946e48d29:0xc6d1b1935269b318!8m2!3d22.2834842!4d114.1486498!16zL20vMDJndmhw?entry=ttu&g_ep=EgoyMDI1MDMyNC4wI																																														
7		影灣園	The Repulse Bay	打卡	PhotoTaking	南 區	Southern	https://www.google.com/maps/place/%E5%BD%B1%E7%81%A3%E5%9C%92%E8%B3%BC%E7%89%A9%E5%95%86%E5%A0%B4/@22.2391044,114.195774,18z/data=!4m15!1m8!3m7!1s0x340401d5bb9eb2ab:0xc5760eddc264970!2z5re65rC054Gj5re65rC054Gj6YGTMTA56Jmf5b2x54Gj5ZyS5LiA5bqn!3b1!8m2!3d22.2397637!4d114.1954195!16s%2Fg%2F12hvcqkty!3m5!1s0x3406aa7f468d336f:0x7b4b3afad697ee87!8m2!3d22.2391044!4d114.195774!16s%2Fg%2F1hjhjwvjn?entry=ttu&g_ep=EgoyMDI1MDMyNC4wI																																														
8		石塘咀山道	Shek Tong Tsui (Hill Road)	打卡	PhotoTaking	南 區	Southern	https://www.google.com/maps/place/%E8%A5%BF%E7%92%B0%E5%B1%B1%E9%81%93/@22.2848798,114.1346987,17.25z/data=!4m6!3m5!1s0x3403ff846ddcfb43:0x7aa74f0cd2f9d8e4!8m2!3d22.2853677!4d114.1358725!16s%2Fg%2F155szb8s?entry=ttu&g_ep=EgoyMDI1MDMyNC4wI																																														
9		1963 木十豆寸	1963 Treee	打卡	PhotoTaking	灣 仔	Wan Chai	https://www.google.com/maps/place/1963+%E6%9C%A8%E5%8D%81%E8%B1%86%E5%AF%B8/@22.2768744,114.1729363,17z/data=!3m2!4b1!5s0x3404005b0c459d13:0x66a5c916858572ff!4m6!3m5!1s0x3404005b0d75f47f:0x548f691d8fb2a26f!8m2!3d22.2768695!4d114.1755112!16s%2Fg%2F11cmsyhn68?entry=ttu&g_ep=EgoyMDI1MDMyNC4wI																																														
10		戲曲中心	Xiqu Centre	打卡	PhotoTaking	油尖旺	Yau Tsim Mong	https://www.google.com/maps/place/%E6%88%B2%E6%9B%B2%E4%B8%AD%E5%BF%83/@22.3021798,114.1646966,17z/data=!3m1!4b1!4m6!3m5!1s0x3403ff9f4178b525:0x89e692819aeec542!8m2!3d22.3021749!4d114.1672715!16s%2Fg%2F11x1ncv4h?entry=ttu&g_ep=EgoyMDI1MDMyNC4wI																																														
